State/UT,SubCenters,PHCs,CHCs,ANM/Health_Worker_Female,Doctors,Specialists,Radiographers,Pharmacists,LabTechinicians,NursingStaff
Andhra Pradesh,12522,1570,164,13740,2137,224,140,1637,1437,2053
Arunachal Pradesh,379,85,31,454,78,0,22,31,18,105
Assam,5109,610,100,5719,NA,NA,NA,NA,NA,NA
Bihar,10337,1648,101,NA,NA,NA,NA,NA,NA,NA
Chhattisgarh,3818,517,116,3667,628,18,95,467,348,540
Goa,172,19,5,179,53,7,7,27,25,119
Gujarat,7274,1070,272,6508,848,92,113,807,870,1453
Haryana,2433,408,72,2818,862,49,106,464,231,1160
Himachal Pradesh,2068,439,66,1790,467,NA,54,375,462,1259
Jharkhand,4462,561,47,NA,NA,NA,NA,NA,NA,NA
Karnataka,8143,1681,254,8544,2041,691,30,1880,1451,3100
Kerala,5094,911,106,5565,949,82,16,858,358,2578
Madhya Pradesh,8874,1192,229,9345,839,49,NA,216,386,902
Maharashtra,10453,1780,382,10699,3158,1099,159,2055,1709,2575
Manipur,420,72,16,463,67,19,5,88,30,62
Meghalaya,401,101,24,608,123,1,26,121,134,263
Mizoram,366,57,9,345,35,0,NA,35,31,122
Nagaland,394,87,21,342,53,0,11,85,45,520
Odisha,5927,1282,231,6768,1353,NA,8,1984,311,637
Punjab,2858,484,116,2602,373,226,57,811,600,640
Rajasthan,10512,1713,326,11425,1506,581,269,2355,2065,8425
Sikkim,147,24,4,260,48,4,5,3,32,45
Tamil Nadu,8682,1380,35,10112,2257,48,28,1252,861,167
Telangana,-,-,-,-,-,-,-,-,-,-
Tripura,539,73,10,561,152,2,4,63,43,274
Uttarakhand,1576,225,44,1486,182,71,30,281,32,129
Uttar Pradesh,20521,3660,386,18146,NA,NA,NA,NA,NA,NA
West Bengal,10356,1173,95,9070,1319,133,77,1231,341,1479
A& N Islands,107,20,4,127,36,0,4,28,24,108
Chandigarh,13,0,1,13,0,4,1,6,2,13
Dadra & Nagar Haveli,38,6,1,38,6,2,1,8,7,10
Daman & Diu,21,3,1,24,5,0,1,4,4,12
Delhi,41,8,0,51,23,0,0,11,5,4
Jammu & Kashmir,1879,334,70,1588,643,142,61,456,395,68
Ladakh,-,-,-,-,-,-,-,-,-,-
Lakshadweep,14,4,3,22,4,0,3,11,7,13
Puducherry,76,39,4,115,63,6,4,58,20,95
All India Total,146026,23236,3346,133194,20308,3550,1337,17708,12284,28930
