State/UT,Tribal_Area,Rural_Area,Urban_Area,Total_Area,Rural_%,Number_of_Districts,Number_of_Villages
Andhra Pradesh*,14132,158856.00,4119.00,162975.00,97.47,13,17950
Arunachal Pradesh,NA,NA,NA,83743.00,NA,20,5545
Assam,18549.42,77178.12,1259.88,78438.00,98.39,27,27927
Bihar,NA,91838.28,2324.72,94163.00,97.53,38,45413
Chhattisgarh,82315.23,131810.30,3381.70,135192.00,97.50,27,20618
Goa,163,2903.14,798.86,3702.00,78.42,2,410
Gujarat,35284.32,188840.46,7403.54,196244.00,96.23,33,19034
Haryana,NA,42235.92,1976.08,44212.00,95.53,22,7652
Himachal Pradesh,23695.00,55402.18,270.82,55673.00,99.51,12,21204
Jharkhand,40795.16,77467.12,2248.88,79716.00,97.18,24,32712
Karnataka,20662.00,185783.46,6007.54,191791.00,96.87,30,34334
Kerala,NA,31253.20,7598.80,38852.00,80.44,14,1664
Madhya Pradesh,93000.00,300505.59,7746.41,308252.00,97.49,51,55910
Maharashtra,50757.00,298628.75,9084.25,307713.00,97.05,35,44345
Manipur,NA,22147.50,179.50,22327.00,99.20,9,3932
Meghalaya,NA,22146.11,282.89,22429.00,98.74,11,6983
Mizoram,21081.00,20494.00,587.00,21081.00,97.22,9,864
Nagaland,NA,16335.52,243.48,16579.00,98.53,11,1626
Odisha,4785.36,152355.34,3351.66,155707.00,97.85,30,52141
Punjab,NA,47847.40,2514.60,50362.00,4.99,22,12968
Rajasthan,19770.15,335606.04,6632.96,342239.00,98.06,34,46737
Sikkim,4520.00,7057.75,38.25,7096.00,99.46,4,454
Tamil Nadu,2538.00,116427.97,13632.03,130060.00,89.52,32,18478
Telangana*,16156.00,94949.00,3735.00,98684.00,96.22,31,11227
Tripura,7132.56,10094.12,391.88,10486.00,96.26,8,898
Uttarakhand,NA,52581.08,901.92,53483.00,98.31,13,17053
Uttar Pradesh,NA,233365.71,7562.29,240928.00,96.86,75,107256
West Bengal,32911.31,83632.59,5119.41,88752.00,94.23,23,41002
"Andaman & Nicobar 
Islands",1841,8211.08,37.92,8249.00,99.54,3,560
Chandigarh,NA,0.00,114.00,114.00,0.00,1,0
"D & N Haveli and 
Daman & Diu",306,501.68,100.32,602.00,83.34,3,101
Delhi,NA,326.44,1156.56,1483.00,22.01,11,222
Jammu & Kashmir,NA,161844.10,1245.90,163090.00,99.24,20,6854
Ladakh,59146.00,59146.00,0,59146.00,100,2,243
Lakshadweep,0,8.05,21.95,30.00,26.83,1,27
Puducherry,0,335.44,154.56,490.00,68.46,4,125
All India,549541,3088115,102225,3274083,94.32,705,664469
